yyyy mm dd doy hh mm ss     H [nT]     D [nT]     Z [nT]     Proton [nT]
2023 07 10 191 14 53 10   29210.31    1718.76   39957.47   50586.51
2023 07 10 191 14 53 15   29210.29    1718.76   39957.45   50586.39
2023 07 10 191 14 53 20   29210.24    1718.76   39957.43   50586.38
2023 07 10 191 14 53 25   29210.23    1718.73   39957.42   50586.35
2023 07 10 191 14 53 30   29210.18    1718.72   39957.40   50586.39
2023 07 10 191 14 53 35   29210.15    1718.70   39957.40   50586.37
2023 07 10 191 14 53 40   29210.12    1718.68   39957.39   50586.24
2023 07 10 191 14 53 45   29210.08    1718.67   39957.38   50586.29
2023 07 10 191 14 53 50   29210.06    1718.68   39957.37   50586.29
2023 07 10 191 14 53 55   29210.03    1718.68   39957.34   50586.18
2023 07 10 191 14 54 00   29210.00    1718.68   39957.27   50586.16
2023 07 10 191 14 54 05   29209.96    1718.67   39957.26   50586.09
2023 07 10 191 14 54 10   29209.92    1718.67   39957.29   50586.12
2023 07 10 191 14 54 15   29209.85    1718.62   39957.31   50586.00
2023 07 10 191 14 54 20   29209.78    1718.59   39957.31   50586.02
2023 07 10 191 14 54 25   29209.76    1718.57   39957.34   50586.05
2023 07 10 191 14 54 30   29209.68    1718.51   39957.34   50585.99
2023 07 10 191 14 54 35   29209.64    1718.49   39957.34   50586.02
2023 07 10 191 14 54 40   29209.61    1718.47   39957.33   50585.86
2023 07 10 191 14 54 45   29209.58    1718.45   39957.34   50585.88
2023 07 10 191 14 54 50   29209.51    1718.41   39957.34   50585.91
2023 07 10 191 14 54 55   29209.46    1718.37   39957.32   50585.78
2023 07 10 191 14 55 00   29209.43    1718.35   39957.32   50585.80
2023 07 10 191 14 55 05   29209.38    1718.32   39957.30   50585.75
2023 07 10 191 14 55 10   29209.35    1718.31   39957.29   50585.72
2023 07 10 191 14 55 15   29209.30    1718.29   39957.27   50585.70
2023 07 10 191 14 55 20   29209.29    1718.28   39957.24   50585.72
2023 07 10 191 14 55 25   29209.22    1718.27   39957.23   50585.60
2023 07 10 191 14 55 30   29209.20    1718.25   39957.23   50585.61
2023 07 10 191 14 55 35   29209.17    1718.22   39957.24   50585.62
2023 07 10 191 14 55 40   29209.12    1718.19   39957.24   50585.52
2023 07 10 191 14 55 45   29209.09    1718.15   39957.23   50585.52
2023 07 10 191 14 55 50   29209.07    1718.15   39957.24   50585.57
2023 07 10 191 14 55 55   29209.06    1718.15   39957.21   50585.47
2023 07 10 191 14 56 00   29209.04    1718.15   39957.16   50585.49
2023 07 10 191 14 56 05   29209.00    1718.16   39957.14   50585.46
2023 07 10 191 14 56 10   29208.97    1718.15   39957.16   50585.44
2023 07 10 191 14 56 15   29208.90    1718.12   39957.21   50585.37
2023 07 10 191 14 56 20   29208.86    1718.11   39957.24   50585.47
2023 07 10 191 14 56 25   29208.86    1718.13   39957.21   50585.34
2023 07 10 191 14 56 30   29208.85    1718.11   39957.20   50585.33
2023 07 10 191 14 56 35   29208.82    1718.10   39957.20   50585.36
2023 07 10 191 14 56 40   29208.80    1718.08   39957.21   50585.30
2023 07 10 191 14 56 45   29208.78    1718.07   39957.19   50585.29
2023 07 10 191 14 56 50   29208.77    1718.06   39957.16   50585.35
2023 07 10 191 14 56 55   29208.75    1718.04   39957.17   50585.26
2023 07 10 191 14 57 00   29208.75    1718.02   39957.15   50585.25
2023 07 10 191 14 57 05   29208.75    1718.01   39957.13   50585.20
2023 07 10 191 14 57 10   29208.73    1717.99   39957.12   50585.25
2023 07 10 191 14 57 15   29208.69    1717.99   39957.09   50585.18
2023 07 10 191 14 57 20   29208.68    1717.97   39957.09   50585.15
2023 07 10 191 14 57 25   29208.65    1717.96   39957.12   50585.17
2023 07 10 191 14 57 30   29208.61    1717.95   39957.11   50585.12
2023 07 10 191 14 57 35   29208.63    1717.97   39957.07   50585.16
2023 07 10 191 14 57 40   29208.60    1717.97   39957.05   50585.10
2023 07 10 191 14 57 45   29208.58    1717.96   39957.05   50585.05
2023 07 10 191 14 57 50   29208.56    1717.94   39957.11   50585.14
2023 07 10 191 14 57 55   29208.56    1717.94   39957.14   50585.12
2023 07 10 191 14 58 00   29208.55    1717.93   39957.12   50585.07
2023 07 10 191 14 58 05   29208.55    1717.93   39957.11   50585.05
2023 07 10 191 14 58 10   29208.54    1717.91   39957.13   50585.10
2023 07 10 191 14 58 15   29208.53    1717.91   39957.14   50585.04
2023 07 10 191 14 58 20   29208.51    1717.90   39957.15   50585.14
2023 07 10 191 14 58 25   29208.51    1717.91   39957.13   50585.08
2023 07 10 191 14 58 30   29208.51    1717.91   39957.09   50584.99
2023 07 10 191 14 58 35   29208.47    1717.92   39957.07   50585.07
2023 07 10 191 14 58 40   29208.47    1717.92   39957.10   50585.01
2023 07 10 191 14 58 45   29208.45    1717.93   39957.10   50584.99
2023 07 10 191 14 58 50   29208.43    1717.93   39957.09   50585.06
2023 07 10 191 14 58 55   29208.43    1717.95   39957.10   50584.96
2023 07 10 191 14 59 00   29208.43    1717.97   39957.09   50585.05
2023 07 10 191 14 59 05   29208.43    1718.00   39957.07   50584.96
2023 07 10 191 14 59 10   29208.43    1718.02   39957.08   50585.00
2023 07 10 191 14 59 15   29208.46    1718.05   39957.04   50584.95
2023 07 10 191 14 59 20   29208.48    1718.07   39957.05   50585.05
2023 07 10 191 14 59 25   29208.55    1718.10   39957.04   50585.00
2023 07 10 191 14 59 30   29208.56    1718.11   39957.04   50585.00
2023 07 10 191 14 59 35   29208.59    1718.10   39957.03   50585.09
2023 07 10 191 14 59 40   29208.65    1718.10   39957.05   50585.08
2023 07 10 191 14 59 45   29208.71    1718.10   39957.06   50585.11
2023 07 10 191 14 59 50   29208.76    1718.09   39957.07   50585.21
2023 07 10 191 14 59 55   29208.84    1718.11   39957.10   50585.20
2023 07 10 191 15 00 00   29208.91    1718.12   39957.11   50585.36
2023 07 10 191 15 00 05   29209.01    1718.15   39957.16   50585.41
2023 07 10 191 15 00 10   29209.12    1718.20   39957.17   50585.51
2023 07 10 191 15 00 15   29209.22    1718.26   39957.19   50585.54
2023 07 10 191 15 00 20   29209.32    1718.30   39957.19   50585.69
2023 07 10 191 15 00 25   29209.42    1718.33   39957.24   50585.68
2023 07 10 191 15 00 30   29209.55    1718.40   39957.27   50585.86
2023 07 10 191 15 00 35   29209.66    1718.46   39957.27   50585.94
2023 07 10 191 15 00 40   29209.78    1718.52   39957.27   50585.93
2023 07 10 191 15 00 45   29209.88    1718.56   39957.27   50586.05
2023 07 10 191 15 00 50   29209.99    1718.62   39957.28   50586.17
2023 07 10 191 15 00 55   29210.09    1718.67   39957.27   50586.11
2023 07 10 191 15 01 00   29210.16    1718.71   39957.29   50586.23
2023 07 10 191 15 01 05   29210.25    1718.75   39957.29   50586.27
2023 07 10 191 15 01 10   29210.34    1718.79   39957.30   50586.28
2023 07 10 191 15 01 15   29210.44    1718.83   39957.34   50586.43
2023 07 10 191 15 01 20   29210.49    1718.87   39957.35   50586.52
2023 07 10 191 15 01 25   29210.56    1718.91   39957.38   50586.47
2023 07 10 191 15 01 30   29210.61    1718.96   39957.38   50586.61
2023 07 10 191 15 01 35   29210.70    1719.01   39957.39   50586.67
2023 07 10 191 15 01 40   29210.78    1719.05   39957.41   50586.72
2023 07 10 191 15 01 45   29210.85    1719.09   39957.42   50586.76
2023 07 10 191 15 01 50   29210.94    1719.15   39957.43   50586.77
2023 07 10 191 15 01 55   29211.00    1719.19   39957.43   50586.88
2023 07 10 191 15 02 00   29211.06    1719.22   39957.48   50586.95
2023 07 10 191 15 02 05   29211.13    1719.25   39957.51   50586.99
2023 07 10 191 15 02 10   29211.18    1719.28   39957.52   50586.99
2023 07 10 191 15 02 15   29211.26    1719.31   39957.54   50587.16
2023 07 10 191 15 02 20   29211.29    1719.33   39957.55   50587.13
2023 07 10 191 15 02 25   29211.33    1719.34   39957.59   50587.13
2023 07 10 191 15 02 30   29211.40    1719.35   39957.61   50587.28
2023 07 10 191 15 02 35   29211.47    1719.37   39957.62   50587.29
2023 07 10 191 15 02 40   29211.50    1719.38   39957.65   50587.27
2023 07 10 191 15 02 45   29211.56    1719.40   39957.66   50587.42
2023 07 10 191 15 02 50   29211.61    1719.41   39957.67   50587.44
2023 07 10 191 15 02 55   29211.69    1719.43   39957.67   50587.51
2023 07 10 191 15 03 00   29211.74    1719.45   39957.64   50587.46
2023 07 10 191 15 03 05   29211.79    1719.47   39957.69   50587.52
2023 07 10 191 15 03 10   29211.82    1719.48   39957.71   50587.56
2023 07 10 191 15 03 15   29211.91    1719.50   39957.73   50587.69
2023 07 10 191 15 03 20   29211.95    1719.52   39957.74   50587.67
2023 07 10 191 15 03 25   29212.02    1719.56   39957.73   50587.70
2023 07 10 191 15 03 30   29212.08    1719.57   39957.75   50587.80
2023 07 10 191 15 03 35   29212.12    1719.59   39957.82   50587.82
2023 07 10 191 15 03 40   29212.19    1719.62   39957.81   50587.86
2023 07 10 191 15 03 45   29212.26    1719.65   39957.82   50588.00
2023 07 10 191 15 03 50   29212.33    1719.68   39957.82   50587.96
2023 07 10 191 15 03 55   29212.41    1719.71   39957.82   50588.10
2023 07 10 191 15 04 00   29212.46    1719.73   39957.83   50588.04
2023 07 10 191 15 04 05   29212.51    1719.74   39957.89   50588.11
2023 07 10 191 15 04 10   29212.60    1719.78   39957.89   50588.17
2023 07 10 191 15 04 15   29212.65    1719.80   39957.91   50588.28
2023 07 10 191 15 04 20   29212.70    1719.81   39957.94   50588.25
2023 07 10 191 15 04 25   29212.75    1719.83   39957.95   50588.34
2023 07 10 191 15 04 30   29212.84    1719.86   39957.93   50588.40
2023 07 10 191 15 04 35   29212.89    1719.87   39957.95   50588.39
2023 07 10 191 15 04 40   29212.95    1719.89   39957.96   50588.41
2023 07 10 191 15 04 45   29213.00    1719.91   39958.00   50588.57
2023 07 10 191 15 04 50   29213.04    1719.92   39958.02   50588.57
2023 07 10 191 15 04 55   29213.09    1719.94   39958.02   50588.63
2023 07 10 191 15 05 00   29213.14    1719.96   39958.03   50588.58
2023 07 10 191 15 05 05   29213.20    1719.99   39958.03   50588.69
2023 07 10 191 15 05 10   29213.26    1720.02   39958.03   50588.73
2023 07 10 191 15 05 15   29213.31    1720.05   39958.04   50588.77
2023 07 10 191 15 05 20   29213.37    1720.06   39958.07   50588.76
2023 07 10 191 15 05 25   29213.41    1720.08   39958.09   50588.89
2023 07 10 191 15 05 30   29213.46    1720.07   39958.09   50588.89
2023 07 10 191 15 05 35   29213.51    1720.10   39958.11   50588.86
2023 07 10 191 15 05 40   29213.53    1720.11   39958.13   50588.90
2023 07 10 191 15 05 45   29213.59    1720.13   39958.14   50589.05
2023 07 10 191 15 05 50   29213.63    1720.14   39958.16   50589.08
2023 07 10 191 15 05 55   29213.67    1720.15   39958.17   50589.06
2023 07 10 191 15 06 00   29213.70    1720.15   39958.17   50589.05
2023 07 10 191 15 06 05   29213.72    1720.17   39958.18   50589.13
2023 07 10 191 15 06 10   29213.76    1720.17   39958.20   50589.16
2023 07 10 191 15 06 15   29213.80    1720.19   39958.21   50589.18
2023 07 10 191 15 06 20   29213.82    1720.19   39958.22   50589.14
2023 07 10 191 15 06 25   29213.83    1720.20   39958.21   50589.24
2023 07 10 191 15 06 30   29213.86    1720.21   39958.23   50589.21
2023 07 10 191 15 06 35   29213.89    1720.23   39958.23   50589.22
2023 07 10 191 15 06 40   29213.93    1720.25   39958.23   50589.31
2023 07 10 191 15 06 45   29213.95    1720.26   39958.23   50589.28
2023 07 10 191 15 06 50   29213.96    1720.25   39958.22   50589.27
2023 07 10 191 15 06 55   29214.00    1720.27   39958.26   50589.36
2023 07 10 191 15 07 00   29214.02    1720.28   39958.24   50589.29
2023 07 10 191 15 07 05   29214.03    1720.28   39958.25   50589.34
2023 07 10 191 15 07 10   29214.06    1720.27   39958.27   50589.41
2023 07 10 191 15 07 15   29214.07    1720.27   39958.28   50589.39
2023 07 10 191 15 07 20   29214.09    1720.27   39958.28   50589.35
2023 07 10 191 15 07 25   29214.08    1720.26   39958.29   50589.47
2023 07 10 191 15 07 30   29214.10    1720.27   39958.30   50589.42
2023 07 10 191 15 07 35   29214.13    1720.27   39958.31   50589.40
2023 07 10 191 15 07 40   29214.14    1720.27   39958.29   50589.51
2023 07 10 191 15 07 45   29214.14    1720.27   39958.30   50589.45
2023 07 10 191 15 07 50   29214.18    1720.27   39958.29   50589.43
2023 07 10 191 15 07 55   29214.17    1720.27   39958.29   50589.48
2023 07 10 191 15 08 00   29214.16    1720.26   39958.31   50589.46
2023 07 10 191 15 08 05   29214.16    1720.25   39958.30   50589.49
2023 07 10 191 15 08 10   29214.18    1720.24   39958.31   50589.55
2023 07 10 191 15 08 15   29214.19    1720.25   39958.32   50589.52
2023 07 10 191 15 08 20   29214.19    1720.24   39958.32   50589.48
2023 07 10 191 15 08 25   29214.21    1720.23   39958.32   50589.59
2023 07 10 191 15 08 30   29214.18    1720.21   39958.33   50589.60
2023 07 10 191 15 08 35   29214.18    1720.19   39958.34   50589.58
2023 07 10 191 15 08 40   29214.18    1720.17   39958.35   50589.51
2023 07 10 191 15 08 45   29214.21    1720.15   39958.35   50589.58
2023 07 10 191 15 08 50   29214.21    1720.14   39958.36   50589.63
2023 07 10 191 15 08 55   29214.20    1720.12   39958.37   50589.56
2023 07 10 191 15 09 00   29214.21    1720.10   39958.36   50589.53
2023 07 10 191 15 09 05   29214.22    1720.09   39958.37   50589.59
2023 07 10 191 15 09 10   29214.23    1720.08   39958.39   50589.65
2023 07 10 191 15 09 15   29214.25    1720.05   39958.40   50589.61
2023 07 10 191 15 09 20   29214.26    1720.04   39958.39   50589.56
2023 07 10 191 15 09 25   29214.27    1720.03   39958.41   50589.69
2023 07 10 191 15 09 30   29214.28    1720.01   39958.42   50589.63
2023 07 10 191 15 09 35   29214.28    1720.00   39958.43   50589.60
2023 07 10 191 15 09 40   29214.30    1719.99   39958.43   50589.63
2023 07 10 191 15 09 45   29214.28    1719.97   39958.41   50589.66
2023 07 10 191 15 09 50   29214.30    1719.95   39958.43   50589.70
2023 07 10 191 15 09 55   29214.31    1719.94   39958.44   50589.66
2023 07 10 191 15 10 00   29214.31    1719.92   39958.46   50589.63
2023 07 10 191 15 10 05   29214.32    1719.92   39958.48   50589.68
2023 07 10 191 15 10 10   29214.31    1719.91   39958.45   50589.73
2023 07 10 191 15 10 15   29214.31    1719.89   39958.45   50589.67
2023 07 10 191 15 10 20   29214.31    1719.89   39958.46   50589.66
2023 07 10 191 15 10 25   29214.31    1719.89   39958.46   50589.76
2023 07 10 191 15 10 30   29214.31    1719.88   39958.45   50589.68
2023 07 10 191 15 10 35   29214.31    1719.87   39958.45   50589.66
2023 07 10 191 15 10 40   29214.31    1719.86   39958.45   50589.75
2023 07 10 191 15 10 45   29214.29    1719.84   39958.46   50589.73
2023 07 10 191 15 10 50   29214.30    1719.83   39958.46   50589.75
2023 07 10 191 15 10 55   29214.31    1719.82   39958.48   50589.68
2023 07 10 191 15 11 00   29214.33    1719.81   39958.46   50589.67
2023 07 10 191 15 11 05   29214.34    1719.81   39958.46   50589.68
2023 07 10 191 15 11 10   29214.35    1719.80   39958.46   50589.77
2023 07 10 191 15 11 15   29214.33    1719.80   39958.46   50589.70
2023 07 10 191 15 11 20   29214.36    1719.80   39958.46   50589.68
2023 07 10 191 15 11 25   29214.36    1719.81   39958.46   50589.70
2023 07 10 191 15 11 30   29214.38    1719.79   39958.46   50589.67
2023 07 10 191 15 11 35   29214.36    1719.79   39958.45   50589.79
2023 07 10 191 15 11 40   29214.38    1719.79   39958.45   50589.70
2023 07 10 191 15 11 45   29214.36    1719.76   39958.46   50589.74
2023 07 10 191 15 11 50   29214.38    1719.77   39958.48   50589.82
2023 07 10 191 15 11 55   29214.37    1719.77   39958.47   50589.70
2023 07 10 191 15 12 00   29214.35    1719.77   39958.46   50589.69
2023 07 10 191 15 12 05   29214.36    1719.77   39958.46   50589.71
2023 07 10 191 15 12 10   29214.35    1719.76   39958.46   50589.76
2023 07 10 191 15 12 15   29214.31    1719.74   39958.46   50589.69
2023 07 10 191 15 12 20   29214.32    1719.73   39958.47   50589.65
2023 07 10 191 15 12 25   29214.30    1719.73   39958.46   50589.74
2023 07 10 191 15 12 30   29214.27    1719.72   39958.44   50589.66
2023 07 10 191 15 12 35   29214.28    1719.72   39958.43   50589.60
2023 07 10 191 15 12 40   29214.24    1719.70   39958.41   50589.61
2023 07 10 191 15 12 45   29214.22    1719.67   39958.41   50589.63
2023 07 10 191 15 12 50   29214.23    1719.65   39958.43   50589.67
2023 07 10 191 15 12 55   29214.22    1719.64   39958.42   50589.61
2023 07 10 191 15 13 00   29214.22    1719.63   39958.42   50589.55
2023 07 10 191 15 13 05   29214.21    1719.62   39958.43   50589.59
2023 07 10 191 15 13 10   29214.20    1719.61   39958.45   50589.63
2023 07 10 191 15 13 15   29214.19    1719.61   39958.47   50589.58
2023 07 10 191 15 13 20   29214.18    1719.61   39958.45   50589.54
2023 07 10 191 15 13 25   29214.18    1719.59   39958.44   50589.64
2023 07 10 191 15 13 30   29214.18    1719.59   39958.41   50589.55
2023 07 10 191 15 13 35   29214.16    1719.57   39958.40   50589.52
2023 07 10 191 15 13 40   29214.15    1719.56   39958.40   50589.51
2023 07 10 191 15 13 45   29214.14    1719.55   39958.40   50589.56
2023 07 10 191 15 13 50   29214.12    1719.52   39958.41   50589.58
2023 07 10 191 15 13 55   29214.11    1719.51   39958.41   50589.49
2023 07 10 191 15 14 00   29214.09    1719.49   39958.43   50589.47
2023 07 10 191 15 14 05   29214.08    1719.49   39958.43   50589.47
2023 07 10 191 15 14 10   29214.07    1719.47   39958.43   50589.54
2023 07 10 191 15 14 15   29214.04    1719.45   39958.42   50589.54
2023 07 10 191 15 14 20   29214.04    1719.45   39958.43   50589.54
2023 07 10 191 15 14 25   29214.03    1719.44   39958.43   50589.45
2023 07 10 191 15 14 30   29214.03    1719.44   39958.43   50589.41
2023 07 10 191 15 14 35   29214.01    1719.44   39958.43   50589.49
2023 07 10 191 15 14 40   29213.99    1719.43   39958.41   50589.37
2023 07 10 191 15 14 45   29213.96    1719.41   39958.40   50589.42
2023 07 10 191 15 14 50   29213.96    1719.42   39958.38   50589.44
2023 07 10 191 15 14 55   29213.94    1719.41   39958.39   50589.38
2023 07 10 191 15 15 00   29213.91    1719.39   39958.38   50589.32
2023 07 10 191 15 15 05   29213.87    1719.39   39958.39   50589.37
2023 07 10 191 15 15 10   29213.88    1719.37   39958.38   50589.39
2023 07 10 191 15 15 15   29213.85    1719.36   39958.36   50589.32
2023 07 10 191 15 15 20   29213.84    1719.36   39958.35   50589.26
2023 07 10 191 15 15 25   29213.85    1719.35   39958.36   50589.28
2023 07 10 191 15 15 30   29213.83    1719.36   39958.34   50589.23
2023 07 10 191 15 15 35   29213.81    1719.35   39958.34   50589.30
2023 07 10 191 15 15 40   29213.76    1719.34   39958.31   50589.21
2023 07 10 191 15 15 45   29213.78    1719.34   39958.29   50589.26
2023 07 10 191 15 15 50   29213.77    1719.35   39958.31   50589.26
2023 07 10 191 15 15 55   29213.77    1719.36   39958.32   50589.22
2023 07 10 191 15 16 00   29213.76    1719.35   39958.30   50589.16
2023 07 10 191 15 16 05   29213.74    1719.35   39958.30   50589.21
2023 07 10 191 15 16 10   29213.72    1719.34   39958.30   50589.21
2023 07 10 191 15 16 15   29213.69    1719.34   39958.29   50589.17
2023 07 10 191 15 16 20   29213.68    1719.33   39958.28   50589.11
2023 07 10 191 15 16 25   29213.68    1719.34   39958.28   50589.19
2023 07 10 191 15 16 30   29213.67    1719.34   39958.27   50589.14
2023 07 10 191 15 16 35   29213.65    1719.33   39958.25   50589.14
2023 07 10 191 15 16 40   29213.64    1719.34   39958.26   50589.03
2023 07 10 191 15 16 45   29213.63    1719.33   39958.26   50589.13
2023 07 10 191 15 16 50   29213.61    1719.33   39958.24   50589.12
2023 07 10 191 15 16 55   29213.61    1719.35   39958.24   50589.08
2023 07 10 191 15 17 00   29213.62    1719.35   39958.22   50589.01
2023 07 10 191 15 17 05   29213.58    1719.35   39958.20   50589.00
2023 07 10 191 15 17 10   29213.57    1719.37   39958.20   50589.01
2023 07 10 191 15 17 15   29213.56    1719.38   39958.18   50588.95
2023 07 10 191 15 17 20   29213.53    1719.38   39958.16   50589.00
2023 07 10 191 15 17 25   29213.52    1719.39   39958.16   50588.96
2023 07 10 191 15 17 30   29213.51    1719.41   39958.16   50588.90
2023 07 10 191 15 17 35   29213.49    1719.42   39958.14   50588.97
2023 07 10 191 15 17 40   29213.49    1719.43   39958.14   50588.88
2023 07 10 191 15 17 45   29213.49    1719.43   39958.15   50588.97
2023 07 10 191 15 17 50   29213.46    1719.45   39958.13   50588.94
2023 07 10 191 15 17 55   29213.46    1719.47   39958.12   50588.92
2023 07 10 191 15 18 00   29213.44    1719.48   39958.09   50588.85
2023 07 10 191 15 18 05   29213.44    1719.51   39958.09   50588.90
2023 07 10 191 15 18 10   29213.44    1719.52   39958.09   50588.87
2023 07 10 191 15 18 15   29213.43    1719.55   39958.09   50588.87
2023 07 10 191 15 18 20   29213.41    1719.57   39958.07   50588.85
2023 07 10 191 15 18 25   29213.40    1719.59   39958.05   50588.83
2023 07 10 191 15 18 30   29213.37    1719.60   39958.04   50588.72
2023 07 10 191 15 18 35   29213.33    1719.60   39958.03   50588.79
2023 07 10 191 15 18 40   29213.32    1719.63   39958.03   50588.67
2023 07 10 191 15 18 45   29213.30    1719.61   39958.02   50588.76
2023 07 10 191 15 18 50   29213.27    1719.63   39957.98   50588.68
2023 07 10 191 15 18 55   29213.25    1719.63   39958.00   50588.68
2023 07 10 191 15 19 00   29213.24    1719.64   39957.98   50588.59
2023 07 10 191 15 19 05   29213.21    1719.63   39957.97   50588.66
2023 07 10 191 15 19 10   29213.20    1719.63   39957.96   50588.62
2023 07 10 191 15 19 15   29213.17    1719.63   39957.95   50588.61
2023 07 10 191 15 19 20   29213.13    1719.63   39957.94   50588.51
2023 07 10 191 15 19 25   29213.11    1719.61   39957.93   50588.57
2023 07 10 191 15 19 30   29213.11    1719.61   39957.93   50588.48
2023 07 10 191 15 19 35   29213.08    1719.61   39957.93   50588.51
2023 07 10 191 15 19 40   29213.07    1719.60   39957.93   50588.45
2023 07 10 191 15 19 45   29213.04    1719.60   39957.91   50588.54
2023 07 10 191 15 19 50   29213.04    1719.59   39957.92   50588.48
2023 07 10 191 15 19 55   29213.01    1719.59   39957.92   50588.49
2023 07 10 191 15 20 00   29213.01    1719.59   39957.92   50588.41
2023 07 10 191 15 20 05   29212.99    1719.58   39957.92   50588.39
2023 07 10 191 15 20 10   29212.95    1719.58   39957.91   50588.45
2023 07 10 191 15 20 15   29212.94    1719.57   39957.93   50588.38
2023 07 10 191 15 20 20   29212.91    1719.55   39957.93   50588.41
2023 07 10 191 15 20 25   29212.90    1719.55   39957.94   50588.42
2023 07 10 191 15 20 30   29212.88    1719.54   39957.93   50588.34
2023 07 10 191 15 20 35   29212.86    1719.52   39957.91   50588.35
2023 07 10 191 15 20 40   29212.84    1719.53   39957.91   50588.29
2023 07 10 191 15 20 45   29212.82    1719.52   39957.91   50588.38
2023 07 10 191 15 20 50   29212.80    1719.52   39957.88   50588.35
2023 07 10 191 15 20 55   29212.77    1719.51   39957.88   50588.25
2023 07 10 191 15 21 00   29212.76    1719.51   39957.88   50588.28
2023 07 10 191 15 21 05   29212.72    1719.48   39957.88   50588.29
2023 07 10 191 15 21 10   29212.69    1719.48   39957.89   50588.27
2023 07 10 191 15 21 15   29212.68    1719.47   39957.89   50588.17
2023 07 10 191 15 21 20   29212.65    1719.45   39957.89   50588.21
2023 07 10 191 15 21 25   29212.64    1719.44   39957.91   50588.25
2023 07 10 191 15 21 30   29212.63    1719.43   39957.91   50588.15
2023 07 10 191 15 21 35   29212.60    1719.42   39957.90   50588.17
2023 07 10 191 15 21 40   29212.58    1719.41   39957.91   50588.11
2023 07 10 191 15 21 45   29212.58    1719.42   39957.90   50588.21
2023 07 10 191 15 21 50   29212.59    1719.40   39957.91   50588.15
2023 07 10 191 15 21 55   29212.56    1719.40   39957.91   50588.17
2023 07 10 191 15 22 00   29212.56    1719.39   39957.89   50588.11
2023 07 10 191 15 22 05   29212.55    1719.37   39957.90   50588.16
2023 07 10 191 15 22 10   29212.54    1719.37   39957.90   50588.12
2023 07 10 191 15 22 15   29212.53    1719.37   39957.91   50588.09
2023 07 10 191 15 22 20   29212.54    1719.35   39957.89   50588.12
2023 07 10 191 15 22 25   29212.50    1719.34   39957.89   50588.09
2023 07 10 191 15 22 30   29212.49    1719.33   39957.89   50588.06
2023 07 10 191 15 22 35   29212.43    1719.31   39957.88   50588.05
2023 07 10 191 15 22 40   29212.42    1719.30   39957.88   50588.00
2023 07 10 191 15 22 45   29212.41    1719.30   39957.88   50588.09
2023 07 10 191 15 22 50   29212.39    1719.29   39957.87   50587.99
2023 07 10 191 15 22 55   29212.36    1719.28   39957.88   50588.04
2023 07 10 191 15 23 00   29212.34    1719.28   39957.86   50587.97
2023 07 10 191 15 23 05   29212.35    1719.28   39957.88   50588.01
2023 07 10 191 15 23 10   29212.34    1719.28   39957.87   50587.96
2023 07 10 191 15 23 15   29212.33    1719.27   39957.87   50588.02
2023 07 10 191 15 23 20   29212.30    1719.26   39957.86   50587.92
2023 07 10 191 15 23 25   29212.28    1719.26   39957.86   50588.00
2023 07 10 191 15 23 30   29212.27    1719.25   39957.86   50587.91
2023 07 10 191 15 23 35   29212.26    1719.23   39957.86   50587.89
2023 07 10 191 15 23 40   29212.22    1719.23   39957.86   50587.85
2023 07 10 191 15 23 45   29212.20    1719.22   39957.85   50587.96
2023 07 10 191 15 23 50   29212.19    1719.23   39957.85   50587.84
2023 07 10 191 15 23 55   29212.19    1719.21   39957.86   50587.90
2023 07 10 191 15 24 00   29212.14    1719.20   39957.84   50587.82
2023 07 10 191 15 24 05   29212.13    1719.20   39957.83   50587.80
2023 07 10 191 15 24 10   29212.09    1719.18   39957.83   50587.80
2023 07 10 191 15 24 15   29212.06    1719.17   39957.82   50587.78
2023 07 10 191 15 24 20   29212.04    1719.15   39957.81   50587.75
2023 07 10 191 15 24 25   29212.00    1719.15   39957.82   50587.82
2023 07 10 191 15 24 30   29212.01    1719.13   39957.81   50587.73
2023 07 10 191 15 24 35   29211.99    1719.12   39957.81   50587.71
2023 07 10 191 15 24 40   29211.96    1719.10   39957.82   50587.68
2023 07 10 191 15 24 45   29211.94    1719.10   39957.80   50587.75
2023 07 10 191 15 24 50   29211.93    1719.09   39957.80   50587.73
2023 07 10 191 15 24 55   29211.92    1719.08   39957.79   50587.65
2023 07 10 191 15 25 00   29211.91    1719.08   39957.79   50587.63
2023 07 10 191 15 25 05   29211.90    1719.09   39957.79   50587.69
2023 07 10 191 15 25 10   29211.89    1719.07   39957.78   50587.70
2023 07 10 191 15 25 15   29211.89    1719.08   39957.79   50587.64
2023 07 10 191 15 25 20   29211.91    1719.08   39957.79   50587.61
2023 07 10 191 15 25 25   29211.90    1719.07   39957.80   50587.70
2023 07 10 191 15 25 30   29211.90    1719.08   39957.80   50587.65
2023 07 10 191 15 25 35   29211.90    1719.09   39957.79   50587.63
2023 07 10 191 15 25 40   29211.89    1719.09   39957.78   50587.64
2023 07 10 191 15 25 45   29211.91    1719.09   39957.79   50587.73
2023 07 10 191 15 25 50   29211.91    1719.09   39957.80   50587.65
2023 07 10 191 15 25 55   29211.93    1719.10   39957.80   50587.68
2023 07 10 191 15 26 00   29211.95    1719.08   39957.80   50587.64
2023 07 10 191 15 26 05   29211.95    1719.09   39957.80   50587.70
2023 07 10 191 15 26 10   29211.95    1719.09   39957.79   50587.77
2023 07 10 191 15 26 15   29211.96    1719.10   39957.80   50587.68
