yyyy mm dd doy hh mm ss     H [nT]     D [nT]     Z [nT]     Proton [nT]
2023 07 10 191 00 11 10   29196.80    1750.80   39956.06   50577.57
2023 07 10 191 00 11 15   29196.82    1750.81   39956.05   50577.62
2023 07 10 191 00 11 20   29196.81    1750.77   39956.08   50577.56
2023 07 10 191 00 11 25   29196.79    1750.76   39956.11   50577.67
2023 07 10 191 00 11 30   29196.81    1750.75   39956.11   50577.67
2023 07 10 191 00 11 35   29196.80    1750.72   39956.11   50577.56
2023 07 10 191 00 11 40   29196.74    1750.71   39956.09   50577.60
2023 07 10 191 00 11 45   29196.68    1750.71   39956.08   50577.55
2023 07 10 191 00 11 50   29196.63    1750.73   39956.05   50577.42
2023 07 10 191 00 11 55   29196.66    1750.77   39955.99   50577.47
2023 07 10 191 00 12 00   29196.63    1750.78   39956.00   50577.45
2023 07 10 191 00 12 05   29196.62    1750.83   39956.03   50577.46
2023 07 10 191 00 12 10   29196.61    1750.87   39956.02   50577.46
2023 07 10 191 00 12 15   29196.60    1750.92   39955.93   50577.38
2023 07 10 191 00 12 20   29196.61    1750.93   39955.89   50577.29
2023 07 10 191 00 12 25   29196.62    1750.95   39955.86   50577.33
2023 07 10 191 00 12 30   29196.66    1750.95   39955.86   50577.35
2023 07 10 191 00 12 35   29196.65    1750.94   39955.89   50577.29
2023 07 10 191 00 12 40   29196.64    1750.96   39955.91   50577.40
2023 07 10 191 00 12 45   29196.59    1750.97   39955.93   50577.31
2023 07 10 191 00 12 50   29196.55    1750.97   39955.91   50577.32
2023 07 10 191 00 12 55   29196.52    1750.98   39955.88   50577.30
2023 07 10 191 00 13 00   29196.50    1750.97   39955.88   50577.20
2023 07 10 191 00 13 05   29196.53    1750.97   39955.86   50577.25
2023 07 10 191 00 13 10   29196.53    1750.98   39955.88   50577.35
2023 07 10 191 00 13 15   29196.48    1750.99   39955.89   50577.30
2023 07 10 191 00 13 20   29196.42    1751.02   39955.85   50577.15
2023 07 10 191 00 13 25   29196.35    1751.02   39955.86   50577.11
2023 07 10 191 00 13 30   29196.34    1751.01   39955.86   50577.18
2023 07 10 191 00 13 35   29196.38    1751.03   39955.85   50577.11
2023 07 10 191 00 13 40   29196.39    1751.01   39955.81   50577.19
2023 07 10 191 00 13 45   29196.38    1751.00   39955.79   50577.16
2023 07 10 191 00 13 50   29196.32    1751.00   39955.76   50577.12
2023 07 10 191 00 13 55   29196.26    1750.99   39955.77   50577.09
2023 07 10 191 00 14 00   29196.27    1750.96   39955.85   50577.05
2023 07 10 191 00 14 05   29196.32    1750.90   39955.92   50577.15
2023 07 10 191 00 14 10   29196.41    1750.87   39955.90   50577.23
2023 07 10 191 00 14 15   29196.44    1750.82   39955.90   50577.28
2023 07 10 191 00 14 20   29196.50    1750.81   39955.91   50577.23
2023 07 10 191 00 14 25   29196.57    1750.79   39955.93   50577.37
2023 07 10 191 00 14 30   29196.63    1750.79   39955.95   50577.42
2023 07 10 191 00 14 35   29196.66    1750.81   39955.97   50577.38
2023 07 10 191 00 14 40   29196.64    1750.84   39955.96   50577.45
2023 07 10 191 00 14 45   29196.59    1750.91   39955.94   50577.42
2023 07 10 191 00 14 50   29196.57    1750.96   39955.93   50577.33
2023 07 10 191 00 14 55   29196.57    1751.02   39955.92   50577.38
2023 07 10 191 00 15 00   29196.61    1751.06   39955.88   50577.29
2023 07 10 191 00 15 05   29196.56    1751.07   39955.82   50577.25
2023 07 10 191 00 15 10   29196.44    1751.05   39955.82   50577.22
2023 07 10 191 00 15 15   29196.33    1751.07   39955.81   50577.15
2023 07 10 191 00 15 20   29196.27    1751.12   39955.78   50577.00
2023 07 10 191 00 15 25   29196.27    1751.15   39955.71   50577.01
2023 07 10 191 00 15 30   29196.23    1751.15   39955.71   50576.92
2023 07 10 191 00 15 35   29196.18    1751.13   39955.71   50576.97
2023 07 10 191 00 15 40   29196.12    1751.11   39955.75   50577.00
2023 07 10 191 00 15 45   29196.09    1751.13   39955.74   50576.87
2023 07 10 191 00 15 50   29196.08    1751.12   39955.77   50576.93
2023 07 10 191 00 15 55   29196.11    1751.14   39955.73   50576.97
2023 07 10 191 00 16 00   29196.11    1751.11   39955.79   50576.91
2023 07 10 191 00 16 05   29196.17    1751.07   39955.82   50577.02
2023 07 10 191 00 16 10   29196.21    1751.02   39955.84   50577.06
2023 07 10 191 00 16 15   29196.27    1750.94   39955.83   50577.16
2023 07 10 191 00 16 20   29196.32    1750.87   39955.83   50577.08
2023 07 10 191 00 16 25   29196.32    1750.78   39955.87   50577.17
2023 07 10 191 00 16 30   29196.31    1750.72   39955.91   50577.20
2023 07 10 191 00 16 35   29196.29    1750.70   39955.93   50577.13
2023 07 10 191 00 16 40   29196.25    1750.72   39955.91   50577.16
2023 07 10 191 00 16 45   29196.19    1750.78   39955.87   50577.04
2023 07 10 191 00 16 50   29196.10    1750.85   39955.86   50577.04
2023 07 10 191 00 16 55   29196.03    1750.96   39955.78   50576.99
2023 07 10 191 00 17 00   29195.99    1751.03   39955.72   50576.81
2023 07 10 191 00 17 05   29195.95    1751.08   39955.68   50576.81
2023 07 10 191 00 17 10   29195.93    1751.10   39955.68   50576.81
