iyr mon idm doy ihr min sec power
 10  3 11  70  7  7 10.0   0.138E-03
 10  3 11  70  7  8 40.0   0.442E-04
 10  3 11  70  7 10 10.0   0.851E-04
 10  3 11  70  7 11 40.0   0.298E-04
 10  3 11  70  7 13 10.0   0.191E-03
 10  3 11  70  7 14 40.0   0.228E-03
 10  3 11  70  7 16 10.0   0.129E-03
 10  3 11  70  7 17 40.0   0.824E-04
 10  3 11  70  7 19 10.0   0.115E-03
 10  3 11  70  7 20 40.0   0.648E-04
 10  3 11  70  7 22 10.0   0.473E-04
 10  3 11  70  7 23 40.0   0.156E-03
 10  3 11  70  7 25 10.0   0.216E-03
 10  3 11  70  7 26 40.0   0.104E-03
 10  3 11  70  7 28 10.0   0.622E-05
 10  3 11  70  7 29 40.0   0.575E-04
 10  3 11  70  7 31 10.0   0.982E-04
 10  3 11  70  7 32 40.0   0.180E-04
 10  3 11  70  7 34 10.0   0.660E-04
 10  3 11  70  7 35 40.0   0.813E-04
 10  3 11  70  7 37 10.0   0.692E-04
 10  3 11  70  7 38 40.0   0.633E-04
 10  3 11  70  7 40 10.0   0.833E-04
 10  3 11  70  7 41 40.0   0.881E-04
 10  3 11  70  7 43 10.0   0.104E-03
 10  3 11  70  7 44 40.0   0.694E-04
 10  3 11  70  7 46 10.0   0.116E-04
 10  3 11  70  7 47 40.0   0.123E-03
 10  3 11  70  7 49 10.0   0.222E-03
 10  3 11  70  7 50 40.0   0.433E-03
 10  3 11  70  7 52 10.0   0.297E-03
 10  3 11  70  7 53 40.0   0.767E-04
 10  3 11  70  7 55 10.0   0.110E-03
 10  3 11  70  7 56 40.0   0.955E-04
 10  3 11  70  7 58 10.0   0.109E-03
 10  3 11  70  7 59 40.0   0.277E-03
 10  3 11  70  8  1 10.0   0.101E-02
 10  3 11  70  8  2 40.0   0.646E-03
 10  3 11  70  8  4 10.0   0.139E-03
 10  3 11  70  8  5 40.0   0.294E-03
 10  3 11  70  8  7 10.0   0.684E-04
 10  3 11  70  8  8 40.0   0.673E-04
 10  3 11  70  8 10 10.0   0.144E-03
 10  3 11  70  8 11 40.0   0.155E-03
 10  3 11  70  8 13 10.0   0.107E-03
 10  3 11  70  8 14 40.0   0.718E-04
 10  3 11  70  8 16 10.0   0.158E-03
 10  3 11  70  8 17 40.0   0.211E-03
 10  3 11  70  8 19 10.0   0.173E-03
 10  3 11  70  8 20 40.0   0.153E-03
 10  3 11  70  8 22 10.0   0.260E-03
 10  3 11  70  8 23 40.0   0.158E-03
 10  3 11  70  8 25 10.0   0.653E-04
 10  3 11  70  8 26 40.0   0.257E-03
 10  3 11  70  8 28 10.0   0.211E-03
 10  3 11  70  8 29 40.0   0.129E-03
 10  3 11  70  8 31 10.0   0.930E-04
 10  3 11  70  8 32 40.0   0.276E-03
 10  3 11  70  8 34 10.0   0.359E-03
 10  3 11  70  8 35 40.0   0.155E-03
 10  3 11  70  8 37 10.0   0.205E-03
 10  3 11  70  8 38 40.0   0.245E-03
 10  3 11  70  8 40 10.0   0.980E-04
 10  3 11  70  8 41 40.0   0.263E-03
 10  3 11  70  8 43 10.0   0.473E-03
 10  3 11  70  8 44 40.0   0.467E-03
 10  3 11  70  8 46 10.0   0.382E-03
 10  3 11  70  8 47 40.0   0.171E-03
 10  3 11  70  8 49 10.0   0.233E-03
 10  3 11  70  8 50 40.0   0.272E-03
 10  3 11  70  8 52 10.0   0.815E-03
 10  3 11  70  8 53 40.0   0.204E-02
 10  3 11  70  8 55 10.0   0.615E-02
 10  3 11  70  8 56 40.0   0.495E-02
 10  3 11  70  8 58 10.0   0.377E-02
 10  3 11  70  8 59 40.0   0.251E-02
 10  3 11  70  9  1 10.0   0.143E-02
 10  3 11  70  9  2 40.0   0.333E-04
 10  3 11  70  9  4 10.0   0.352E-03
 10  3 11  70  9  5 40.0   0.403E-03
 10  3 11  70  9  7 10.0   0.639E-03
 10  3 11  70  9  8 40.0   0.440E-03
 10  3 11  70  9 10 10.0   0.364E-03
 10  3 11  70  9 11 40.0   0.848E-03
